char	unicode_hex	code_hex	modes	frequency	first_seen_chunk	first_seen_row	source_count	notes
置	U+7F6E	0xF093	1x1,1x2	49	chunk_0001	1	35	provisional
中	U+4E2D	0xF094	1x1,1x2	270	chunk_0001	1	224	provisional
向	U+5411	0xF095	1x1,1x2	37	chunk_0001	1	31	provisional
前	U+524D	0xF096	1x1,1x2	105	chunk_0001	1	104	provisional
往	U+5F80	0xF097	1x1,1x2	52	chunk_0001	4	49	provisional
造	U+9020	0xF098	1x1,1x2	150	chunk_0001	4	146	provisional
成	U+6210	0xF099	1x1,1x2	345	chunk_0001	4	321	provisional
伤	U+4F24	0xF09A	1x1,1x2	178	chunk_0001	4	169	provisional
害	U+5BB3	0xF09B	1x1,1x2	190	chunk_0001	4	181	provisional
较	U+8F83	0xF09C	1x1,1x2	7	chunk_0001	4	6	provisional
高	U+9AD8	0xF09D	1x1,1x2	42	chunk_0001	4	37	provisional
但	U+4F46	0xF09E	1x1,1x2	64	chunk_0001	4	55	provisional
受	U+53D7	0xF09F	1x1,1x2	30	chunk_0001	4	28	provisional
增	U+589E	0xF0A0	1x1,1x2	22	chunk_0001	4	15	provisional
加	U+52A0	0xF0A1	1x1,1x2	88	chunk_0001	4	73	provisional
退	U+9000	0xF0A2	1x1,1x2	6	chunk_0001	4	6	provisional
低	U+4F4E	0xF0A3	1x1,1x2	20	chunk_0001	4	16	provisional
减	U+51CF	0xF0A4	1x1,1x2	22	chunk_0001	4	20	provisional
少	U+5C11	0xF0A5	1x1,1x2	47	chunk_0001	4	36	provisional
另	U+53E6	0xF0A6	1x1,1x2	7	chunk_0001	4	7	provisional
外	U+5916	0xF0A7	1x1,1x2	25	chunk_0001	4	23	provisional
从	U+4ECE	0xF0A8	1x1,1x2	50	chunk_0001	4	48	provisional
正	U+6B63	0xF0A9	1x1,1x2	61	chunk_0001	4	58	provisional
提	U+63D0	0xF0AA	1x1,1x2	164	chunk_0001	4	70	provisional
升	U+5347	0xF0AB	1x1,1x2	158	chunk_0001	4	67	provisional
要	U+8981	0xF0AC	1x1,1x2	290	chunk_0001	4	247	provisional
根	U+6839	0xF0AD	1x1,1x2	23	chunk_0001	4	23	provisional
据	U+636E	0xF0AE	1x1,1x2	59	chunk_0001	4	58	provisional
情	U+60C5	0xF0AF	1x1,1x2	40	chunk_0001	4	38	provisional
况	U+51B5	0xF0B0	1x1,1x2	12	chunk_0001	4	12	provisional
灵	U+7075	0xF0B1	1x1,1x2	215	chunk_0001	4	191	provisional
活	U+6D3B	0xF0B2	1x1,1x2	46	chunk_0001	4	42	provisional
运	U+8FD0	0xF0B3	1x1,1x2	12	chunk_0001	4	11	provisional
些	U+4E9B	0xF0B4	1x1,1x2	54	chunk_0001	4	54	provisional
对	U+5BF9	0xF0B5	1x1,1x2	297	chunk_0001	4	222	provisional
打	U+6253	0xF0B6	1x1,1x2	77	chunk_0001	4	62	provisional
系	U+7CFB	0xF0B7	1x1,1x2	21	chunk_0001	4	18	provisional
忍	U+5FCD	0xF0B8	1x1,1x2	450	chunk_0001	4	383	provisional
术	U+672F	0xF0B9	1x1,1x2	334	chunk_0001	4	275	provisional
样	U+6837	0xF0BA	1x1,1x2	136	chunk_0001	4	134	provisional
反	U+53CD	0xF0BB	1x1,1x2	15	chunk_0001	4	15	provisional
过	U+8FC7	0xF0BC	1x1,1x2	117	chunk_0001	4	115	provisional
使	U+4F7F	0xF0BD	1x1,1x2	191	chunk_0001	4	110	provisional
其	U+5176	0xF0BE	1x1,1x2	53	chunk_0001	4	40	provisional
他	U+4ED6	0xF0BF	1x1,1x2	84	chunk_0001	4	79	provisional
道	U+9053	0xF0C0	1x1,1x2	142	chunk_0001	4	132	provisional
具	U+5177	0xF0C1	1x1,1x2	104	chunk_0001	4	78	provisional
最	U+6700	0xF0C2	1x1,1x2	73	chunk_0001	4	54	provisional
好	U+597D	0xF0C3	1x1,1x2	435	chunk_0001	4	396	provisional
安	U+5B89	0xF0C4	1x1,1x2	22	chunk_0001	4	22	provisional
全	U+5168	0xF0C5	1x1,1x2	159	chunk_0001	4	130	provisional
基	U+57FA	0xF0C6	1x1,1x2	25	chunk_0001	5	17	provisional
本	U+672C	0xF0C7	1x1,1x2	60	chunk_0001	5	50	provisional
掌	U+638C	0xF0C8	1x1,1x2	23	chunk_0001	5	23	provisional
握	U+63E1	0xF0C9	1x1,1x2	5	chunk_0001	5	5	provisional
战	U+6218	0xF0CA	1x1,1x2	243	chunk_0001	5	157	provisional
斗	U+6597	0xF0CB	1x1,1x2	141	chunk_0001	5	99	provisional
了	U+4E86	0xF0CC	1x1,1x2	785	chunk_0001	5	711	provisional
